,x1,x2,x3,x4,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y99,y100,y101
model1,0.75,125,395,120,7.7722,203.89,13.258,169.906,3.7122,2.8907,9.8986,-1.1215,1.8477,1.6735,5.4181,0.0049,420.08,413.82,37251,2725.686,46.111,4.1568,0.0002,0.0748,-0.0267,0.0272,-0.028,0.0279,-0.0596,0.073,3.1349,3.1225,3.0798,3.1394,31.874,31.8731,31.8721,31.8719,9.5884,9.5868,9.5879,9.5884,7.4621,7.4588,7.4619,7.4611,6.819,6.8181,6.8181,6.8182,4.6143,0.001,4.6141,0.0009,4.6143,0.0012,4.6143,0.0011,4.6147,0.0009,4.6144,0.0009,4.6125,0.0011,4.6135,0.001,4.3934,0.0025,4.3961,0.002,4.3929,0.0027,4.3928,0.0029,4.3834,0.0007,4.3885,0.0013,4.3832,0.0011,4.3821,0.001,4.4082,0.0037,4.4141,0.0037,4.4095,0.0043,4.4064,0.0036,4.3869,0.0015,4.3896,0.0017,4.3868,0.0013,4.3853,0.0013,0.0073,0.0059,0.0069,0.0073,0.0043,0.005,0.0052,0.0051
model2,0.75,125,385,90,7.5517,201.38,11.35,201.379,3.6934,2.8917,9.6909,-0.741,2.1004,1.5278,5.487,0.0061,414.98,407.64,36711,2592.024,45.867,4.0272,0.0003,0.0954,-0.0324,0.0331,-0.0335,0.0325,-0.0743,0.0932,3.1141,3.0939,3.0571,3.1208,31.8392,31.8381,31.8367,31.8367,9.5782,9.5774,9.5772,9.5777,7.4552,7.4509,7.4547,7.4541,6.8132,6.8127,6.8122,6.8124,4.6116,0.001,4.612,0.0008,4.6123,0.0011,4.6122,0.001,4.6129,0.0008,4.6126,0.0008,4.6099,0.001,4.6112,0.0009,4.3897,0.0024,4.3896,0.0018,4.3903,0.0026,4.3903,0.0028,4.3787,0.0008,4.3818,0.0012,4.3776,0.001,4.3759,0.0008,4.4069,0.0037,4.4096,0.0036,4.4074,0.0042,4.4051,0.0036,4.3828,0.0015,4.3841,0.0016,4.3808,0.0013,4.38,0.0013,0.0076,0.0068,0.0071,0.0075,0.0042,0.0044,0.0046,0.0044
model3,0.5,135,395,90,7.9131,167.2,10.688,167.202,3.6899,2.8722,10.4819,-0.3627,2.4242,1.7892,5.4993,0.0062,425.14,418.13,43343,3271.408,50.777,4.2408,0.0003,0.0932,-0.035,0.0346,-0.0371,0.0367,-0.0779,0.0913,3.0742,3.0822,3.0411,3.0817,31.8356,31.8371,31.8355,31.8357,9.5759,9.5744,9.5749,9.5745,7.4558,7.4525,7.4558,7.456,6.8162,6.8141,6.8159,6.8161,4.6137,0.0011,4.6117,0.0009,4.6141,0.0012,4.6142,0.0011,4.6141,0.0009,4.6124,0.0009,4.6129,0.001,4.6133,0.001,4.4001,0.0037,4.4038,0.003,4.4004,0.0035,4.4024,0.0036,4.375,0.0011,4.3794,0.0015,4.3796,0.0015,4.3797,0.0013,4.4094,0.0041,4.4136,0.0039,4.4115,0.0048,4.4112,0.0042,4.3753,0.0012,4.376,0.0012,4.3755,0.0011,4.3747,0.0011,0.009,0.0073,0.0091,0.0088,0.0028,0.0025,0.0033,0.0029
model4,0.25,150,395,120,9.0806,217.86,15.444,181.551,3.7313,2.8587,9.8983,-1.2347,2.0589,2.2668,5.2175,0.0029,429.27,421.81,71859,5437.328,56.529,4.8394,0.0009,0.046,-0.0196,0.0195,-0.0205,0.0208,-0.0434,0.0449,3.0167,3.0075,2.9794,3.0131,31.915,31.9166,31.9151,31.9151,9.6023,9.5991,9.6012,9.6012,7.47,7.4681,7.4704,7.4703,6.8267,6.8243,6.8269,6.8268,4.6159,0.0011,4.6138,0.0008,4.6149,0.0012,4.6149,0.0011,4.6149,0.0011,4.6134,0.0009,4.6159,0.0011,4.6151,0.001,4.4028,0.0035,4.4119,0.0029,4.404,0.0036,4.4061,0.0037,4.3741,0.0005,4.3741,0.0009,4.3759,0.0009,4.3763,0.0007,4.4044,0.0035,4.4121,0.0034,4.4083,0.0044,4.4065,0.0037,4.3791,0.0009,4.3792,0.001,4.3796,0.0008,4.3785,0.0008,0.0076,0.0046,0.0069,0.0066,0.0024,0.0028,0.0024,0.0022
model5,0.25,165,395,90,10.0079,179.26,12.038,179.259,3.7012,2.8394,10.2925,-0.3635,2.7998,2.2909,5.5081,0.0047,431.35,421.63,70817,5242.243,68.651,5.61,0.0003,0.0772,-0.0302,0.0297,-0.0294,0.0296,-0.0681,0.0758,3.3881,3.369,3.3605,3.379,31.8585,31.8602,31.8583,31.8585,9.5842,9.5816,9.5833,9.5834,7.4598,7.4572,7.46,7.4599,6.8168,6.8151,6.8172,6.817,4.6087,0.0009,4.6076,0.0006,4.6088,0.001,4.6084,0.0009,4.6086,0.001,4.6073,0.0007,4.6094,0.0009,4.6086,0.0009,4.4021,0.0036,4.4096,0.0032,4.4031,0.0037,4.4046,0.0038,4.3657,0.0005,4.3655,0.0008,4.3673,0.0008,4.3674,0.0005,4.4046,0.0037,4.4101,0.0036,4.4073,0.0045,4.4052,0.0037,4.3714,0.0009,4.3712,0.001,4.3714,0.0007,4.3702,0.0008,0.008,0.0058,0.0077,0.0072,0.0025,0.0021,0.0022,0.002
model6,0.75,135,375,90,7.9035,228.64,12.202,228.635,3.6992,2.8928,9.3728,-0.8538,2.0147,1.4932,5.4898,0.0055,408.17,401.38,35641,2575.508,47.387,4.284,0.0003,0.0879,-0.0307,0.0311,-0.0321,0.0318,-0.0701,0.0855,3.1554,3.1533,3.1204,3.1617,31.85,31.8486,31.8484,31.8489,9.581,9.5801,9.5808,9.5812,7.4577,7.4531,7.4572,7.4568,6.814,6.8127,6.8134,6.8133,4.6114,0.001,4.6103,0.0008,4.6115,0.001,4.6112,0.001,4.6117,0.0008,4.6108,0.0008,4.6104,0.001,4.6102,0.0009,4.3928,0.0027,4.3934,0.0022,4.3914,0.0028,4.3923,0.003,4.38,0.0009,4.3832,0.0013,4.3807,0.0013,4.38,0.0009,4.407,0.0036,4.4099,0.0036,4.4075,0.0041,4.4056,0.0036,4.3805,0.0013,4.3823,0.0015,4.3814,0.0013,4.3801,0.0013,0.0074,0.0066,0.0074,0.0075,0.0036,0.0042,0.0046,0.0044
model7,0.25,125,375,120,7.3668,254.33,16.208,211.94,3.7304,2.8986,8.96,-1.5895,1.4468,1.5828,5.2089,0.0035,419.85,409.1,103290,6171.224,43.918,3.7137,0.0006,0.0494,-0.0207,0.0203,-0.0213,0.0218,-0.0444,0.0487,2.5233,2.504,2.4983,2.5299,31.9118,31.9133,31.9116,31.9116,9.6011,9.5978,9.6002,9.6,7.4703,7.4685,7.4707,7.4706,6.8286,6.8259,6.8291,6.8291,4.6206,0.0013,4.6178,0.0009,4.6199,0.0014,4.6197,0.0013,4.6192,0.0011,4.6174,0.0011,4.621,0.0012,4.6205,0.0011,4.4054,0.0038,4.4155,0.0032,4.4065,0.0038,4.4087,0.004,4.376,0.0006,4.3764,0.001,4.3782,0.001,4.3784,0.0009,4.4078,0.0037,4.4153,0.0037,4.4119,0.0046,4.4101,0.0039,4.3806,0.001,4.3807,0.001,4.3811,0.0009,4.38,0.0009,0.0088,0.0056,0.0079,0.0078,0.0029,0.0024,0.0025,0.0023
model8,0.5,125,385,80,7.3822,198.79,10.64,198.793,3.688,2.8849,10.0986,-0.4997,2.2763,1.6354,5.4911,0.0079,419.99,411.99,43644,3427.124,46.396,3.8374,0.0005,0.0967,-0.0353,0.0349,-0.0372,0.0365,-0.0787,0.0949,2.9002,2.9055,2.8708,2.9042,31.8314,31.8323,31.8311,31.8311,9.5747,9.5732,9.574,9.5737,7.4543,7.4513,7.4543,7.4544,6.8153,6.8136,6.8145,6.8148,4.6147,0.0011,4.6124,0.0009,4.6138,0.0012,4.6146,0.0011,4.6146,0.0009,4.6136,0.0008,4.6128,0.001,4.6132,0.0011,4.3965,0.0036,4.4006,0.0028,4.3966,0.0033,4.3984,0.0034,4.3784,0.0014,4.3812,0.0016,4.3796,0.0014,4.3798,0.0011,4.4088,0.004,4.4136,0.0038,4.4105,0.0047,4.4099,0.004,4.3765,0.0013,4.3779,0.0013,4.3767,0.0013,4.376,0.0013,0.009,0.0072,0.009,0.0086,0.0034,0.0031,0.0038,0.0035
model9,0.25,135,385,80,7.6436,208.39,11.43,200.665,3.6937,2.8745,10.1401,-0.4687,2.3472,1.7708,5.4915,0.0059,424.58,414.86,79447,5721.527,49.654,4.0015,0.0002,0.0876,-0.0335,0.0328,-0.0325,0.0326,-0.0736,0.0865,2.8138,2.8092,2.7901,2.8153,31.8434,31.8456,31.8437,31.8435,9.5798,9.5775,9.579,9.5789,7.4575,7.455,7.4579,7.4578,6.819,6.8168,6.8194,6.819,4.6156,0.0013,4.6133,0.001,4.6152,0.0013,4.6145,0.0012,4.6146,0.001,4.613,0.001,4.616,0.0011,4.6156,0.0011,4.4027,0.004,4.4112,0.0035,4.4044,0.0039,4.4058,0.0041,4.3688,0.0007,4.3686,0.0009,4.3707,0.001,4.3711,0.0009,4.4078,0.0041,4.4125,0.0039,4.4106,0.0048,4.4093,0.0041,4.3736,0.0012,4.3735,0.0011,4.3735,0.001,4.3726,0.001,0.0097,0.0074,0.0094,0.0091,0.0031,0.002,0.0027,0.0024
model10,0.25,135,385,100,7.816,208.39,13.81,200.665,3.7146,2.8811,9.8549,-1.0105,1.9623,1.8036,5.418,0.0045,423.39,415.06,79447,5725.091,48.955,4.0711,0.0003,0.0652,-0.0264,0.0258,-0.0263,0.0266,-0.0575,0.0643,2.7411,2.7155,2.7009,2.7401,31.8828,31.8846,31.883,31.8828,9.5918,9.5889,9.5908,9.5908,7.4649,7.4628,7.4654,7.4652,6.8238,6.8213,6.8241,6.8242,4.6168,0.0012,4.6141,0.0009,4.6162,0.0013,4.6162,0.0012,4.6159,0.001,4.6142,0.0011,4.6172,0.0012,4.6171,0.0011,4.4041,0.0039,4.4136,0.0033,4.4057,0.0038,4.4075,0.004,4.3733,0.0006,4.3732,0.0009,4.375,0.001,4.3754,0.0009,4.4084,0.0039,4.4146,0.0038,4.4118,0.0047,4.41,0.004,4.378,0.001,4.3779,0.001,4.3781,0.0009,4.377,0.001,0.0092,0.0065,0.0086,0.0084,0.003,0.0021,0.0025,0.0023
